Player,Age,Pos,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,Salary
Moses Brown,25,C,13,9.2,5.8,3.4,0.2,0.5,0.3,0.694,,426632
Adem Bona,21,C,58,15.6,5.8,4.2,0.5,0.4,1.2,0.703,0.0,1157153
Robert Williams,27,C,20,17.6,5.8,5.9,1.1,0.7,1.7,0.641,0.333,12428571
Moussa Diabate,23,C,71,17.5,5.7,6.2,0.8,0.6,0.6,0.596,0.0,957763
Dariq Whitehead,20,SF,20,12.3,5.7,1.5,0.6,0.3,0.1,0.406,0.446,3114240
Landry Shamet,27,SG,50,15.2,5.7,1.2,0.5,0.5,0.0,0.461,0.397,1343690
Jordan Goodwin,26,PG,29,18.7,5.6,3.9,1.4,1.0,0.4,0.438,0.382,223718
Shake Milton,28,SG,57,14.7,5.5,1.8,1.8,0.4,0.1,0.453,0.358,2875000
Aaron Holiday,28,PG,62,12.8,5.5,1.3,1.3,0.3,0.2,0.437,0.398,4668000
Jeff Green,38,PF,32,12.4,5.4,1.8,0.6,0.2,0.1,0.504,0.367,8000000
Jonathan Isaac,27,PF,71,15.4,5.4,4.4,0.6,0.9,1.1,0.414,0.258,25000000
Dean Wade,28,PF,59,21.2,5.4,4.2,1.3,0.7,0.3,0.413,0.36,6166667
Kobe Bufkin,21,SG,10,12.4,5.3,2.1,1.7,0.3,0.2,0.383,0.211,4299000
Pat Connaughton,32,SG,41,14.7,5.3,2.7,1.7,0.2,0.3,0.469,0.321,9423869
Kevin Love,36,PF,23,10.9,5.3,4.1,1.0,0.7,0.2,0.357,0.358,3850000
Ben Sheppard,23,SG,63,19.5,5.3,2.8,1.3,0.6,0.2,0.418,0.342,2663880
Monte Morris,29,PG,45,12.7,5.2,1.5,1.6,0.4,0.1,0.426,0.36,2087519
Jabari Walker,22,SF,60,12.5,5.2,3.5,0.6,0.6,0.1,0.515,0.389,2019699
Javonte Green,31,SG,68,18.5,5.1,3.2,0.8,1.0,0.5,0.429,0.326,2328350
Javonte Green,31,SG,68,18.5,5.1,3.2,0.8,1.0,0.5,0.429,0.326,2328350
Bismack Biyombo,32,C,28,18.9,5.1,5.6,1.1,0.6,0.8,0.588,,647851
Bismack Biyombo,32,C,28,18.9,5.1,5.6,1.1,0.6,0.8,0.588,,647851
Bismack Biyombo,32,C,28,18.9,5.1,5.6,1.1,0.6,0.8,0.588,,647851
Mitchell Robinson,26,C,17,17.1,5.1,5.9,0.8,0.9,1.1,0.661,,14318182
Ben Simmons,28,PG,51,22.0,5.0,4.7,5.6,0.7,0.5,0.52,,40011909
Ben Simmons,28,PG,51,22.0,5.0,4.7,5.6,0.7,0.5,0.52,,40011909
Malaki Branham,21,SG,47,9.1,5.0,1.1,0.8,0.2,0.0,0.458,0.405,3217920
Neemias Queta,25,C,62,13.9,5.0,3.8,0.7,0.3,0.7,0.65,0.0,2162606
Lindy Waters III,27,SG,52,15.0,4.9,2.1,1.0,0.5,0.2,0.369,0.344,2196970
Jock Landale,29,C,42,11.9,4.8,3.3,0.9,0.3,0.2,0.533,0.423,8000000
Colin Castleton,24,C,26,16.6,4.7,4.7,1.1,0.3,0.4,0.469,0.125,421081
Colin Castleton,24,C,26,16.6,4.7,4.7,1.1,0.3,0.4,0.469,0.125,421081
Colin Castleton,24,C,26,16.6,4.7,4.7,1.1,0.3,0.4,0.469,0.125,421081
Colin Castleton,24,C,26,16.6,4.7,4.7,1.1,0.3,0.4,0.469,0.125,421081
Taylor Hendricks,21,PF,3,25.0,4.7,5.0,0.7,1.7,1.3,0.222,0.25,5848680
David Roddy,23,PF,33,12.4,4.6,2.5,1.1,0.4,0.3,0.456,0.311,2967212
David Roddy,23,PF,33,12.4,4.6,2.5,1.1,0.4,0.3,0.456,0.311,2967212
Drew Eubanks,27,C,61,12.2,4.6,3.7,0.9,0.2,0.6,0.593,0.5,5000000
Pelle Larsson,23,SG,55,14.2,4.6,1.7,1.2,0.6,0.1,0.438,0.337,1157153
Julian Phillips,21,SF,79,14.2,4.6,2.1,0.5,0.5,0.3,0.446,0.327,1891857
Cody Williams,20,SG,50,21.2,4.6,2.3,1.2,0.5,0.3,0.323,0.259,5469120
Rob Dillingham,20,PG,49,10.5,4.5,1.0,2.0,0.4,0.0,0.441,0.338,6262920
Jett Howard,21,SF,60,11.7,4.5,1.2,0.7,0.2,0.2,0.374,0.296,5278320
Kevon Looney,28,C,76,15.0,4.5,6.1,1.6,0.6,0.5,0.514,0.4,8000000
Mason Plumlee,34,C,74,17.6,4.5,6.1,1.8,0.4,0.6,0.619,0.0,2087519
Dalen Terry,22,SG,73,13.5,4.5,1.7,1.3,0.6,0.2,0.448,0.356,3510480
Marvin Bagley III,25,PF,31,8.5,4.4,2.7,0.4,0.3,0.3,0.519,0.158,12500000
Charles Bassey,24,C,36,10.4,4.4,4.2,0.5,0.4,0.8,0.581,,2087519
Tony Bradley,27,C,14,8.1,4.4,3.0,0.4,0.1,0.6,0.644,0.333,600545
Tony Bradley,27,C,14,8.1,4.4,3.0,0.4,0.1,0.6,0.644,0.333,600545
Tony Bradley,27,C,14,8.1,4.4,3.0,0.4,0.1,0.6,0.644,0.333,600545
Reggie Jackson,34,PG,31,12.4,4.4,1.4,1.5,0.5,0.1,0.391,0.338,4033748
Reggie Jackson,34,PG,31,12.4,4.4,1.4,1.5,0.5,0.1,0.391,0.338,4033748
Reed Sheppard,20,PG,52,12.6,4.4,1.5,1.4,0.7,0.3,0.351,0.338,10098960
Lamar Stevens,27,PF,17,9.1,4.4,2.2,0.5,0.3,0.2,0.46,0.296,623856
Lamar Stevens,27,PF,17,9.1,4.4,2.2,0.5,0.3,0.2,0.46,0.296,623856
Lamar Stevens,27,PF,17,9.1,4.4,2.2,0.5,0.3,0.2,0.46,0.296,623856
Mo Bamba,26,C,32,12.9,4.3,4.5,0.6,0.3,1.0,0.464,0.278,2207491
Mo Bamba,26,C,32,12.9,4.3,4.5,0.6,0.3,1.0,0.464,0.278,2207491
Jevon Carter,29,PG,36,8.9,4.3,1.1,1.1,0.4,0.1,0.377,0.333,6500000
Terrence Shannon Jr.,24,SG,32,10.6,4.3,1.5,1.0,0.2,0.2,0.482,0.355,2546640
Daniel Theis,32,C,38,16.3,4.3,4.3,1.6,0.5,0.5,0.473,0.243,2087519
Torrey Craig,34,SF,26,12.1,4.2,2.8,0.7,0.3,0.5,0.422,0.364,3625162
Torrey Craig,34,SF,26,12.1,4.2,2.8,0.7,0.3,0.5,0.422,0.364,3625162
Wendell Moore Jr.,23,SG,36,13.9,4.2,2.6,1.2,0.6,0.1,0.468,0.341,2537040
Dominick Barlow,21,SF,35,10.7,4.2,2.4,0.5,0.3,0.5,0.531,0.259,491887
Oso Ighodaro,22,PF,61,17.1,4.2,3.6,1.2,0.5,0.5,0.604,0.0,1157153
Kris Murray,24,SF,69,15.1,4.2,2.6,1.0,0.5,0.2,0.419,0.225,2990040
Duop Reath,28,C,46,10.2,4.2,2.0,0.6,0.3,0.3,0.422,0.321,2048780
Maxwell Lewis,22,SF,28,11.7,4.1,2.0,0.7,0.3,0.3,0.417,0.38,1891857
Jaylen Clark,23,SG,40,13.1,4.1,1.3,0.7,0.9,0.1,0.467,0.431,492323
Caleb Houstan,22,SF,58,13.6,4.1,1.3,0.6,0.4,0.1,0.421,0.4,2019699
Jordan Miller,25,SF,37,11.4,4.1,1.6,0.9,0.5,0.1,0.433,0.211,1050000
Jalen Pickett,25,SG,49,13.6,4.1,1.4,2.2,0.4,0.1,0.428,0.396,1891857
Paul Reed,25,C,45,9.7,4.1,2.7,1.0,0.9,0.6,0.507,0.286,3913234
Paul Reed,25,C,45,9.7,4.1,2.7,1.0,0.9,0.6,0.507,0.286,3913234
Gui Santos,22,PF,56,13.6,4.1,3.1,1.4,0.4,0.2,0.458,0.33,1891857
Jarred Vanderbilt,25,PF,36,16.1,4.1,5.1,1.1,1.0,0.3,0.488,0.281,10714286
Colby Jones,22,SG,39,13.2,4.0,2.2,1.1,0.7,0.3,0.457,0.327,2120693
Nicolas Batum,36,PF,78,17.5,4.0,2.8,1.1,0.7,0.5,0.437,0.433,4668000
Malachi Flynn,26,PG,4,11.0,4.0,1.8,1.8,0.8,0.0,0.385,0.25,119972
Josh Richardson,31,SG,8,18.8,4.0,1.5,1.5,1.0,0.1,0.289,0.273,3051153
Steven Adams,31,C,58,13.7,3.9,5.6,1.1,0.4,0.5,0.545,0.0,12600000
Kyle Lowry,38,PG,35,18.8,3.9,1.9,2.7,0.9,0.3,0.35,0.33,2087519
Olivier-Maxence Prosper,22,PF,52,11.2,3.9,2.4,0.8,0.5,0.1,0.402,0.235,2870400
Patty Mills,36,PG,29,11.1,3.8,0.8,0.9,0.4,0.1,0.375,0.347,2087519
Branden Carlson,25,C,32,7.7,3.8,1.7,0.4,0.2,0.7,0.443,0.333,496519
Branden Carlson,25,C,32,7.7,3.8,1.7,0.4,0.2,0.7,0.443,0.333,496519
Branden Carlson,25,C,32,7.7,3.8,1.7,0.4,0.2,0.7,0.443,0.333,496519
Devin Carter,22,PG,36,11.0,3.8,2.1,1.1,0.6,0.1,0.37,0.295,4689000
Ousmane Dieng,21,C,37,10.9,3.8,2.2,0.8,0.5,0.2,0.432,0.324,5027040
Markieff Morris,35,PF,15,11.0,3.7,1.5,1.4,0.1,0.2,0.3,0.25,2087519
DeAndre Jordan,36,C,56,12.3,3.7,5.1,0.9,0.3,0.5,0.65,,2087519
Craig Porter Jr.,24,PG,51,10.1,3.7,1.3,1.4,0.3,0.3,0.514,0.438,1891857
Blake Wesley,21,SG,58,11.8,3.7,1.1,2.0,0.6,0.1,0.435,0.293,2624280
Baylor Scheierman,24,SG,31,12.4,3.6,2.1,1.1,0.5,0.1,0.355,0.317,2494320
Jae'Sean Tate,29,SF,52,11.3,3.6,2.3,0.9,0.5,0.1,0.473,0.348,7565217
Jaylon Tyson,22,SG,47,9.6,3.6,2.0,0.9,0.3,0.1,0.43,0.345,3326160
Elfrid Payton,30,PG,24,21.3,3.5,3.3,6.9,1.0,0.5,0.328,0.167,789048
Elfrid Payton,30,PG,24,21.3,3.5,3.3,6.9,1.0,0.5,0.328,0.167,789048
Elfrid Payton,30,PG,24,21.3,3.5,3.3,6.9,1.0,0.5,0.328,0.167,789048
Elfrid Payton,30,PG,24,21.3,3.5,3.3,6.9,1.0,0.5,0.328,0.167,789048
Elfrid Payton,30,PG,24,21.3,3.5,3.3,6.9,1.0,0.5,0.328,0.167,789048
Elfrid Payton,30,PG,24,21.3,3.5,3.3,6.9,1.0,0.5,0.328,0.167,789048
Luka Garza,26,C,39,5.6,3.5,1.4,0.3,0.2,0.1,0.495,0.278,2162606
Cory Joseph,33,PG,50,12.2,3.5,1.5,1.4,0.5,0.1,0.403,0.364,3303771
Doug McDermott,33,SF,42,8.1,3.5,0.5,0.2,0.1,0.0,0.427,0.436,2087519
Dario Saric,30,C,16,13.1,3.5,3.1,1.4,0.4,0.1,0.362,0.269,5168000
Bruno Fernando,26,C,17,8.6,3.4,3.0,1.1,0.2,0.5,0.531,,1115128
Andre Jackson Jr.,23,SG,67,14.6,3.4,2.7,1.2,0.5,0.2,0.477,0.395,1891857
Isaac Jones,24,PF,40,7.6,3.4,1.4,0.3,0.1,0.3,0.651,0.375,152957
Kevin Knox,25,SF,14,6.0,3.3,1.2,0.4,0.1,0.3,0.5,0.267,503883
Kevin Knox,25,SF,14,6.0,3.3,1.2,0.4,0.1,0.3,0.5,0.267,503883
Kevin Knox,25,SF,14,6.0,3.3,1.2,0.4,0.1,0.3,0.5,0.267,503883
Damion Lee,32,SG,25,5.8,3.3,0.8,0.4,0.2,0.0,0.365,0.243,2087519
Jeenathan Williams,25,SG,20,7.4,3.3,0.7,0.5,0.4,0.2,0.435,0.231,515881
Zeke Nnaji,24,PF,57,10.7,3.2,1.6,0.4,0.4,0.7,0.496,0.327,8888889
Cam Reddish,25,SF,33,17.8,3.2,2.0,0.7,1.0,0.3,0.404,0.277,2463946
Delon Wright,32,PG,40,15.9,3.1,1.7,1.9,0.9,0.3,0.344,0.274,2087519
Kylor Kelley,27,C,11,11.5,3.1,3.5,0.5,0.1,0.3,0.636,,73153
Kylor Kelley,27,C,11,11.5,3.1,3.5,0.5,0.1,0.3,0.636,,73153
Gary Harris,30,SG,48,14.8,3.0,1.3,0.6,0.5,0.3,0.383,0.356,7500000
Maxi Kleber,33,PF,34,18.7,3.0,2.8,1.3,0.3,0.5,0.385,0.265,11000000
Rayan Rupert,20,SG,52,8.8,3.0,1.3,0.5,0.3,0.1,0.408,0.271,1891857
P.J. Tucker,39,SF,3,19.3,3.0,2.7,0.0,0.3,0.3,0.429,0.5,12025777
P.J. Tucker,39,SF,3,19.3,3.0,2.7,0.0,0.3,0.3,0.429,0.5,12025777
P.J. Tucker,39,SF,3,19.3,3.0,2.7,0.0,0.3,0.3,0.429,0.5,12025777
P.J. Tucker,39,SF,3,19.3,3.0,2.7,0.0,0.3,0.3,0.429,0.5,12025777
Markelle Fultz,26,PG,21,8.8,2.9,1.0,1.3,0.5,0.1,0.418,0.5,731831
Taj Gibson,39,C,37,11.1,2.9,3.2,0.6,0.2,0.5,0.495,0.5,2087519
Tyler Smith,20,PF,23,5.3,2.9,1.1,0.2,0.1,0.2,0.48,0.433,1157153
Keshad Johnson,23,SF,16,6.1,2.7,1.8,0.3,0.3,0.3,0.692,0.429,724883
Jae Crowder,34,PF,9,11.4,2.6,2.2,0.7,0.3,0.0,0.318,0.267,1655619
Josh Minott,22,SF,46,6.0,2.6,1.0,0.4,0.3,0.3,0.489,0.326,2019699
Hunter Tyson,24,PF,51,7.8,2.6,1.5,0.4,0.2,0.1,0.375,0.311,1891857
Jaden Springer,22,SG,43,8.5,2.5,1.3,0.8,0.6,0.1,0.389,0.25,4772772
Jaden Springer,22,SG,43,8.5,2.5,1.3,0.8,0.6,0.1,0.389,0.25,4772772
Jaden Springer,22,SG,43,8.5,2.5,1.3,0.8,0.6,0.1,0.389,0.25,4772772
Anthony Gill,32,PF,51,7.8,2.5,1.3,0.3,0.2,0.0,0.489,0.323,2237691
Dillon Jones,23,SF,54,10.2,2.5,2.2,1.1,0.3,0.1,0.383,0.254,2622360
Pat Spencer,28,PG,39,6.4,2.5,1.2,1.2,0.4,0.1,0.406,0.227,438810
Johnny Davis,22,SG,34,7.1,2.4,1.1,0.3,0.4,0.2,0.41,0.241,5291160
John Konchar,28,SG,46,12.1,2.4,3.3,0.9,0.7,0.3,0.451,0.371,6165000
MarJon Beauchamp,24,SF,35,4.5,2.3,1.3,0.3,0.1,0.0,0.415,0.345,2733720
Bronny James,20,SG,27,6.7,2.3,0.7,0.8,0.3,0.1,0.313,0.281,1157153
Patrick Baldwin Jr.,22,SF,24,4.5,2.2,1.0,0.1,0.1,0.1,0.543,0.565,2448840
Jordan McLaughlin,28,PG,46,6.8,2.1,0.7,1.1,0.3,0.0,0.431,0.413,2087519
JD Davison,22,PG,16,5.8,2.1,0.8,0.8,0.3,0.1,0.353,0.222,11997
Chris Duarte,27,SG,17,4.4,2.1,1.2,0.5,0.0,0.0,0.462,0.4,5893768
Johnny Furphy,20,SG,50,7.6,2.1,1.4,0.4,0.4,0.2,0.38,0.3,1850842
Dwight Powell,33,C,55,10.0,2.1,2.1,1.0,0.3,0.4,0.689,0.4,4000000
Tyler Kolek,23,PG,41,7.2,2.0,0.7,1.7,0.3,0.1,0.329,0.298,2087519
Kobe Brown,25,PF,40,6.8,1.9,1.6,0.6,0.2,0.1,0.458,0.231,2533920
Ariel Hukporti,22,C,25,8.7,1.9,2.0,0.4,0.0,0.6,0.677,,1064049
Bobi Klintman,21,SF,8,5.3,1.9,0.9,0.9,0.3,0.1,0.6,0.4,1257153
Garrett Temple,38,SG,28,8.1,1.9,1.0,1.1,0.6,0.1,0.3,0.214,2087519
Jericho Sims,26,C,53,11.9,1.8,3.7,0.6,0.2,0.4,0.634,,2092344
Vlatko Cancar,27,PF,13,10.5,1.8,2.5,0.7,0.2,0.2,0.385,0.267,2087519
E.J. Liddell,24,PF,12,4.4,1.8,0.8,0.3,0.1,0.1,0.533,0.3,706898
Pacome Dadiet,19,SG,18,6.2,1.7,1.0,0.3,0.2,0.1,0.323,0.316,1808080
Tristan Thompson,33,C,40,8.2,1.7,3.4,0.6,0.1,0.3,0.437,0.0,2087519
Alex Len,31,C,46,8.3,1.6,2.1,0.8,0.2,0.5,0.508,0.222,2831348
Alex Len,31,C,46,8.3,1.6,2.1,0.8,0.2,0.5,0.508,0.222,2831348
Jordan Walsh,20,PF,52,7.8,1.6,1.3,0.4,0.2,0.2,0.361,0.273,1891857
Phillip Wheeler,22,PF,5,8.8,1.6,1.6,0.4,0.2,0.4,0.143,0.0,66503
Sidy Cissoko,20,SF,22,5.2,1.5,1.0,0.7,0.1,0.0,0.433,0.231,1891857
Leonard Miller,21,SF,13,2.5,1.5,0.8,0.0,0.2,0.1,0.4,0.0,1891857
Matt Ryan,27,SF,19,3.6,1.5,0.4,0.2,0.1,0.0,0.323,0.316,621439
Cam Christie,19,SG,13,4.5,1.4,0.9,0.5,0.4,0.1,0.292,0.154,1157153
Chris Livingston,21,SF,21,5.0,1.4,1.7,0.2,0.2,0.0,0.333,0.0,1891857
Skal Labissiere,28,PF,4,3.0,1.3,0.8,0.3,0.0,0.0,0.5,1.0,119972
Yuri Collins,23,PG,2,8.0,1.0,1.5,2.0,1.0,0.0,0.333,,66503
Braxton Key,27,SF,3,3.7,1.0,0.7,0.0,0.7,0.0,0.0,0.0,11997
Xavier Tillman Sr.,26,C,33,7.0,1.0,1.3,0.2,0.3,0.2,0.245,0.156,2237691
PJ Dozier,28,SG,9,3.9,0.8,0.6,0.6,0.1,0.0,0.667,0.667,1051255
Joe Ingles,37,SF,19,6.0,0.8,0.6,1.2,0.1,0.0,0.261,0.2,2087519
James Johnson,37,PF,12,3.1,0.7,0.5,0.3,0.0,0.2,0.364,0.0,2087519
Malevy Leons,25,SF,6,3.5,0.3,0.5,0.2,0.0,0.0,0.0,0.0,126356
Daishen Nix,22,PG,3,4.3,0.3,1.3,1.0,0.0,0.0,0.0,0.0,119972
Terence Davis,27,SG,1,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,64301
Jalen McDaniels,27,SF,4,1.8,0.0,0.0,0.3,0.3,0.0,,,4861772
Jalen McDaniels,27,SF,4,1.8,0.0,0.0,0.3,0.3,0.0,,,4861772
Jahlil Okafor,29,C,1,3.0,0.0,1.0,1.0,0.0,0.0,,,119972
Terry Taylor,25,PF,3,2.0,0.0,0.3,0.7,0.0,0.0,0.0,,119972
